hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,capacity,hidden_dim,num_layers,group
1.1909610166891182,-0.2700896814515758,0.4972085241175081,0.1823450475931167,1.4795876603946505,0.5660990330726119,0.937455185268786,0.4322547136425926,17,0.0,0.08370613729986934,0.4972085241175081,0.5657090933757629,0.4231161738746689,0.642950655091829,13.995807945617017,68103,1877.918968,0.0025787267368286,42,none_seed42,medium,128,4,entropy_regularization
1.1866810642691783,-0.2695956055832782,0.4434325084813804,0.1818910092115402,1.6121861721551949,0.53010217973889,0.9676914784596372,0.499799315160242,3,0.0,0.10345800520386274,0.4434325084813804,0.5325342110190694,0.4353380503144655,0.6256663890366019,11.554645270361595,68103,2028.650203,0.0016286004101857,153,none_seed153,medium,128,4,entropy_regularization
1.1871816072905503,-0.2696621985941786,0.4639224008635628,0.1847714781761169,1.5536901398964638,0.4945966613282546,1.0378507647123754,0.6901020882407326,2,0.0,0.03342076970850221,0.4639224008635628,0.4973892644953308,0.4246582031249999,0.6322520898771582,12.199846432002971,68103,2010.144309,0.0007540286751464,264,none_seed264,medium,128,4,entropy_regularization
1.191023156032264,-0.2701074932373006,0.4725813868584563,0.1856904178857803,1.5654573412366262,0.530332998760111,0.8857281952091752,0.4358630630808507,4,0.0,0.14143465328621935,0.4725813868584563,0.5297137340773755,0.4506896021328959,0.635035193384062,12.48584338044306,68103,2000.759957,0.0010765418410301,375,none_seed375,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.4858961272167564,0.1860120743513107,1.530933735215572,0.5048830930085598,0.9405122834563844,0.4600635255205833,4,0.0,0.040828038766846285,0.4858961272167564,0.5078394932788938,0.4464083727983494,0.6393147130191039,13.526940618782977,68103,1898.803884,0.0015378111274912,486,none_seed486,medium,128,4,entropy_regularization
1.191023156032264,-0.2701074932373006,0.5011258369913646,0.1806938797235489,1.5316686282204808,0.6027653585030635,0.882010206292021,0.4521910703417051,4,0.0,0.08979836877217665,0.5011258369913646,0.5937556265283626,0.4509448368009161,0.6442097271359806,9.977528613260995,68103,2654.972763,-0.0570709332823753,42,entropy_001_seed42,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.4860192239431558,0.1722950786352157,1.464498243961736,0.5993441358024691,0.9023723151663864,0.4551021153658485,16,0.0,0.11357094484177765,0.4860192239431558,0.5912696966333391,0.4309070726292421,0.639354277805458,9.315010006126617,68103,2758.076953,-0.0553542859852314,153,entropy_001_seed153,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.4824872545810313,0.1759975403547287,1.461973484161044,0.5830500130763195,0.9838582083231414,0.4393182800074849,17,0.0,0.05464930773788879,0.4824872545810313,0.5820571779511261,0.4160242901508428,0.6382190598568664,9.233147326625062,68103,2762.309503,-0.0593375265598297,264,entropy_001_seed264,medium,128,4,entropy_regularization
1.1909430055728751,-0.2700896814515758,0.4975204848149218,0.1814881712198257,1.4964738383264946,0.5530221812855783,0.9019179195689692,0.4542293269620175,4,0.0,0.11101456987515,0.4975204848149218,0.5549625385837604,0.407184829059829,0.6430509230575585,9.439360832462707,68103,2786.150913,-0.0588607862591743,375,entropy_001_seed375,medium,128,4,entropy_regularization
1.1908689608493035,-0.2700688862281691,0.4862336857299457,0.177406445145607,1.456893050666963,0.5798555768792896,0.8731200445015959,0.4901330047383244,34,0.0,0.04683488619614483,0.4862336857299457,0.5784768531132234,0.4096203753998431,0.6394232084344327,9.170303672729904,68103,2802.835328,-0.0658650547266006,486,entropy_001_seed486,medium,128,4,entropy_regularization
1.1940840760051674,-0.2704561490660364,0.4563975332069343,0.1613140702247619,1.4267525677686663,0.5926772365852497,1.0321089915847723,0.4616051889240998,11,0.0,0.08786103263591173,0.4563975332069343,0.5883277715550589,0.4466146626851117,0.6298335058100976,9.548523246733064,68103,2526.639818,-0.3133930563926697,42,entropy_005_seed42,medium,128,4,entropy_regularization
1.1941044513107946,-0.2704561490660364,0.4669988052627463,0.1661945432424545,1.4069100262118286,0.5847679360053328,0.9498292086654422,0.4581528067835113,18,0.0,0.1163200185901327,0.4669988052627463,0.5817529159953484,0.4284315097243598,0.6332408837009467,9.688485823853846,68103,2547.98061,-0.2860927879810333,153,entropy_005_seed153,medium,128,4,entropy_regularization
1.1941006575887376,-0.2704561490660364,0.4563585998929418,0.1595829874277115,1.4167987640668267,0.596702265957972,0.9787974595029928,0.4805924726800921,24,0.0,0.1453846851820097,0.4563585998929418,0.5918710167498153,0.4483523832684826,0.6298209921690348,9.289817545459703,68103,2596.780923,-0.2812401950359344,264,entropy_005_seed264,medium,128,4,entropy_regularization
1.1941044513107946,-0.2704561490660364,0.4658950747814958,0.1658117920160293,1.4209675410951574,0.586240478592049,0.874235972633362,0.4642375888552973,11,0.0,0.11529356373680984,0.4658950747814958,0.5831078551078605,0.4661739995758496,0.6328861312882673,9.639302315578004,68103,2554.928645,-0.3101172149181366,375,entropy_005_seed375,medium,128,4,entropy_regularization
1.1940840760051674,-0.2704561490660364,0.455601276953748,0.1585202813148498,1.388041291131599,0.5719711293425185,0.9852616043775946,0.4701633158162241,18,0.0,0.10014484144976382,0.455601276953748,0.5693576457212813,0.4631383531040558,0.6295775793572838,9.411949681577944,68103,2558.83094,-0.3011861741542816,486,entropy_005_seed486,medium,128,4,entropy_regularization
1.1941044513107946,-0.2704561490660364,0.4431722096142972,0.1548119485378265,1.3962235954430688,0.5941959631522278,0.9444910706440228,0.499005492744914,14,0.0,0.11990363868572937,0.4431722096142972,0.5894143460355643,0.4376365830588082,0.6255827258120338,9.504914286066514,68103,2464.680173,-0.6194710731506348,42,entropy_01_seed42,medium,128,4,entropy_regularization
1.1941006575887376,-0.2704561490660364,0.4517645259819485,0.1591087579727172,1.4133684911351307,0.5859545339305332,1.0253413126830904,0.4557292675531353,4,0.0,0.09270368564241685,0.4517645259819485,0.5825337984125939,0.44177388805434,0.6283444008891549,10.602344639889152,68103,2252.404912,-0.589442789554596,153,entropy_01_seed153,medium,128,4,entropy_regularization
1.1941006575887376,-0.2704561490660364,0.4597099224116986,0.1622996777296066,1.437823862752783,0.6146155718607643,0.9144236763175464,0.4592509748033311,18,0.0,0.0780933050510582,0.4597099224116986,0.6042466456102883,0.4307860972643336,0.6308981480231057,10.82640341178964,68103,2244.584344,-0.6046270132064819,264,entropy_01_seed264,medium,128,4,entropy_regularization
1.1940864401945517,-0.2704561490660364,0.4493508136822836,0.1572496443986892,1.391945550516674,0.5917854958637783,0.9086995265043362,0.4578420050192074,11,0.0,0.09893182002653916,0.4493508136822836,0.5883666922303392,0.4072125545213365,0.6275686043732792,10.681631526122626,68103,2223.740969,-0.677505373954773,375,entropy_01_seed375,medium,128,4,entropy_regularization
1.1940840760051674,-0.2704561490660364,0.453902660615904,0.1569846123456955,1.4399745553583434,0.5594865965709955,1.0183701761676878,0.4540557412690304,4,0.0,0.11988794931841501,0.453902660615904,0.5610710535256083,0.4101935874168179,0.6290316233885912,10.835310964482124,68103,2214.407818,-0.5570892095565796,486,entropy_01_seed486,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.3214141182713047,0.1117652803659439,1.392818722115698,0.5778703515545621,0.8976494075202254,0.307997390202987,4,0.0,0.11351974559558946,0.3214141182713047,0.5706690576539105,0.5031389966454902,0.5864481930606879,8.704009362194087,68103,1952.009187,-2.601534843444824,42,entropy_05_seed42,medium,128,4,entropy_regularization
1.1941044513107946,-0.2704561490660364,0.3156627148682512,0.1152564659714698,1.409245670997626,0.6106814666545355,1.0059090127097026,0.4375463486261357,26,0.0,0.051997628328555374,0.3156627148682512,0.5978159029522679,0.4651437785541521,0.5845996219935795,8.575336561672831,68103,1945.845573,-2.427426338195801,153,entropy_05_seed153,medium,128,4,entropy_regularization
1.1941006575887376,-0.2704561490660364,0.2963950539265727,0.1048801988363266,1.3657685674020488,0.6318074014409093,0.8519201992418389,0.2702024169084167,4,0.0,0.09871812868594278,0.2963950539265727,0.6038961033355,0.535324384787472,0.5784067612165503,8.017871804147243,68103,1954.105924,-2.7164320945739746,264,entropy_05_seed264,medium,128,4,entropy_regularization
1.1909610166891182,-0.2700896814515758,0.3143647142254799,0.1134041398763656,1.389099061683277,0.6757968612925236,0.8592701367231321,0.2804539469958892,4,0.0,0.1147552720915096,0.3143647142254799,0.6151016060258483,0.5381144393241168,0.5841824287860848,8.566002614278629,68103,1939.955856,-2.58862829208374,375,entropy_05_seed375,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.2971919481677594,0.1048776805400848,1.353403496501267,0.6223020887678009,0.9090808908403872,0.2667608682669086,4,0.0,0.13593020790144733,0.2971919481677594,0.6060332075332079,0.4750099960015994,0.5786628927264739,8.03684361964333,68103,1954.734501,-2.470787286758423,486,entropy_05_seed486,medium,128,4,entropy_regularization
